date;jour;heure;phase;type;texte_twitter;texte_linkedin;url;image_og
2026-02-26;Jeu;18:00;2-Montee;duel;"Bournazel vs Knafo a Paris.

Centre-droit vs droite a Paris.

#Paris2026 #Municipales2026";"Le duel Bournazel vs Knafo a Paris.

Centre-droit vs droite a Paris.
Comparez :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=bournazel,knafo;duel-paris-bournazel-vs-knafo.jpg
2026-02-27;Ven;09:00;2-Montee;ville;"Municipales 2026 a Saint-Étienne : 8 candidats.

Comparez les programmes.

#SaintÉtienne2026 #Municipales2026";"Saint-Étienne : 8 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/saint-etienne/;saint-etienne.jpg
2026-02-27;Ven;12:30;2-Montee;candidat;"Sarah Knafo - Municipales 2026 Paris

Programme complet. Decouvrez ses propositions.

#Paris2026";"Sarah Knafo aux municipales 2026 a Paris.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/paris/candidats/knafo/;paris-knafo.jpg
2026-02-27;Ven;18:00;2-Montee;thematique;"Transports : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Transports";"Enjeu municipales 2026 : Transports

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/transports/;comparateur.jpg
2026-02-28;Sam;09:00;2-Montee;ville;"Municipales 2026 a Le Havre : 6 candidats.

Comparez les programmes.

#LeHavre2026 #Municipales2026";"Le Havre : 6 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/le-havre/;le-havre.jpg
2026-02-28;Sam;12:30;2-Montee;candidat;"Olivier Bianchi - Municipales 2026 Clermont-Ferrand

120 propositions, programme complet.
Decouvrez ses propositions theme par theme.

#ClermontFerrand2026";"Olivier Bianchi aux municipales 2026 a Clermont-Ferrand.

120 propositions, programme complet.
Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/clermont/candidats/bianchi/;clermont-bianchi.jpg
2026-02-28;Sam;18:00;2-Montee;duel;"Chikirou vs Bournazel a Paris.

Deux profils pour Paris.

#Paris2026 #Municipales2026";"Le duel Chikirou vs Bournazel a Paris.

Deux profils pour Paris.
Comparez :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=chikirou,bournazel;duel-paris-chikirou-vs-bournazel.jpg
2026-03-01;Dim;09:00;2-Montee;ville;"Municipales 2026 a Dijon : 7 candidats.

Comparez les programmes.

#Dijon2026 #Municipales2026";"Dijon : 7 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/dijon/;dijon.jpg
2026-03-01;Dim;12:30;2-Montee;candidat;"Michele Lutz - Municipales 2026 Mulhouse

Programme complet.
Decouvrez ses propositions theme par theme.

#Mulhouse2026";"Michele Lutz aux municipales 2026 a Mulhouse.

Programme complet.
Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/mulhouse/candidats/lutz/;mulhouse-lutz.jpg
2026-03-01;Dim;18:00;2-Montee;thematique;"Logement : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Logement";"Enjeu municipales 2026 : Logement

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/logement/;comparateur.jpg
2026-03-02;Lun;09:00;2-Montee;ville;"Municipales 2026 a Grenoble : 9 candidats.

Comparez les programmes.

#Grenoble2026 #Municipales2026";"Grenoble : 9 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/grenoble/;grenoble.jpg
2026-03-02;Lun;12:30;2-Montee;candidat;"Sébastien Delogu - Municipales 2026 Marseille

Programme complet. Decouvrez ses propositions.

#Marseille2026";"Sébastien Delogu aux municipales 2026 a Marseille.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/marseille/candidats/delogu/;marseille-delogu.jpg
2026-03-02;Lun;18:00;2-Montee;duel;"Carignon vs Gentil a Grenoble.

Le duel des municipales 2026. Comparez leurs propositions.

#Grenoble2026 #Municipales2026";"Le duel Carignon vs Gentil a Grenoble : comparez leurs propositions sur 12 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/grenoble/?candidats=carignon,gentil;duel-grenoble-carignon-vs-gentil.jpg
2026-03-03;Mar;09:00;2-Montee;ville;"Municipales 2026 a Angers : 5 candidats.

Comparez les programmes.

#Angers2026 #Municipales2026";"Angers : 5 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/angers/;angers.jpg
2026-03-03;Mar;12:30;2-Montee;candidat;"Grégory Doucet - Municipales 2026 Lyon

Programme complet. Decouvrez ses propositions.

#Lyon2026";"Grégory Doucet aux municipales 2026 a Lyon.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/lyon/candidats/doucet/;lyon-doucet.jpg
2026-03-03;Mar;18:00;2-Montee;thematique;"Education : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Education";"Enjeu municipales 2026 : Education

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/education/;comparateur.jpg
2026-03-04;Mer;09:00;2-Montee;ville;"Municipales 2026 a Villeurbanne : 7 candidats.

Comparez les programmes.

#Villeurbanne2026 #Municipales2026";"Villeurbanne : 7 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/villeurbanne/;villeurbanne.jpg
2026-03-04;Mer;12:30;2-Montee;candidat;"Jean-Luc Moudenc - Municipales 2026 Toulouse

Programme complet. Decouvrez ses propositions.

#Toulouse2026";"Jean-Luc Moudenc aux municipales 2026 a Toulouse.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/toulouse/candidats/moudenc/;toulouse-moudenc.jpg
2026-03-04;Mer;18:00;2-Montee;duel;"Moudenc vs Piquemal a Toulouse.

Le duel de Toulouse.

#Toulouse2026 #Municipales2026";"Le duel Moudenc vs Piquemal a Toulouse.

Le duel de Toulouse.
Comparez :";https://pourquituvotes.fr/municipales-2026/toulouse/?candidats=moudenc,piquemal;duel-toulouse-moudenc-vs-piquemal.jpg
2026-03-05;Jeu;09:00;2-Montee;ville;"Municipales 2026 a Nîmes : 6 candidats.

Comparez les programmes.

#Nîmes2026 #Municipales2026";"Nîmes : 6 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/nimes/;nimes.jpg
2026-03-05;Jeu;12:30;2-Montee;candidat;"François Piquemal - Municipales 2026 Toulouse

Programme complet. Decouvrez ses propositions.

#Toulouse2026";"François Piquemal aux municipales 2026 a Toulouse.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/toulouse/candidats/piquemal/;toulouse-piquemal.jpg
2026-03-05;Jeu;18:00;2-Montee;thematique;"Environnement : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Environnement";"Enjeu municipales 2026 : Environnement

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/environnement/;comparateur.jpg
2026-03-06;Ven;09:00;2-Montee;ville;"Municipales 2026 a Le Mans : 6 candidats.

Comparez les programmes.

#LeMans2026 #Municipales2026";"Le Mans : 6 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/le-mans/;le-mans.jpg
2026-03-06;Ven;12:30;2-Montee;candidat;"Xavier Le Coutour - Municipales 2026 Caen

Programme complet.
Decouvrez ses propositions theme par theme.

#Caen2026";"Xavier Le Coutour aux municipales 2026 a Caen.

Programme complet.
Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/caen/candidats/lecoutour/;caen-lecoutour.jpg
2026-03-06;Ven;18:00;2-Montee;duel;"Estrosi vs Ciotti a Nice.

La droite face a face a Nice.

#Nice2026 #Municipales2026";"Le duel Estrosi vs Ciotti a Nice.

La droite face a face a Nice.
Comparez :";https://pourquituvotes.fr/municipales-2026/nice/?candidats=estrosi,ciotti;duel-nice-estrosi-vs-ciotti.jpg
2026-03-07;Sam;09:00;2-Montee;ville;"Municipales 2026 a Clermont-Ferrand : 4 candidats.

Comparez les programmes.

#ClermontFerrand2026 #Municipales2026";"Clermont-Ferrand : 4 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/clermont/;clermont.jpg
2026-03-07;Sam;12:30;2-Montee;candidat;"Mathieu Morel - Municipales 2026 Issy-les-Moulineaux

Programme complet.
Decouvrez ses propositions theme par theme.

#Issy2026";"Mathieu Morel aux municipales 2026 a Issy-les-Moulineaux.

Programme complet.
Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/issy-les-moulineaux/candidats/morel/;issy-les-moulineaux-morel.jpg
2026-03-07;Sam;18:00;2-Montee;thematique;"Sante : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Sante";"Enjeu municipales 2026 : Sante

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/sante/;comparateur.jpg
2026-03-08;Dim;09:00;3-Acceleration;candidat;"Brice Bernard - Municipales 2026 Chambery

Programme complet.
Decouvrez ses propositions theme par theme.

#Chambery2026 #Municipales2026";"Brice Bernard a Chambery.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/chambery/candidats/bernard/;chambery-bernard.jpg
2026-03-08;Dim;12:30;3-Acceleration;candidat;"Antoine Armand - Municipales 2026 Annecy

Programme complet.
Decouvrez ses propositions.

#Annecy2026";"Antoine Armand aux municipales 2026 a Annecy.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/annecy/candidats/armand/;annecy-armand.jpg
2026-03-08;Dim;18:00;3-Acceleration;ville;"Municipales 2026 a Aix-en-Provence : 6 candidats.

Derniere ligne droite ! Comparez.

#AixenProvence2026 #Municipales2026";"Derniere ligne droite a Aix-en-Provence : 6 candidats aux municipales 2026.

Comparez avant de voter :";https://pourquituvotes.fr/municipales-2026/aix-en-provence/;aix-en-provence.jpg
2026-03-09;Lun;09:00;3-Acceleration;candidat;"Christian Estrosi - Municipales 2026 Nice

Programme complet.

#Nice2026 #Municipales2026";"Christian Estrosi a Nice.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/nice/candidats/estrosi/;nice-estrosi.jpg
2026-03-09;Lun;12:30;3-Acceleration;candidat;"Éric Ciotti - Nice 2026

Programme complet.

#Nice2026";"Éric Ciotti aux municipales 2026 a Nice.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/nice/candidats/ciotti/;nice-ciotti.jpg
2026-03-09;Lun;18:00;3-Acceleration;ville;"Municipales 2026 a Brest : 6 candidats.

Derniere ligne droite ! Comparez.

#Brest2026 #Municipales2026";"Derniere ligne droite a Brest : 6 candidats aux municipales 2026.

Comparez avant de voter :";https://pourquituvotes.fr/municipales-2026/brest/;brest.jpg
2026-03-10;Mar;09:00;3-Acceleration;candidat;"Foulques Chombart de Lauwe - Municipales 2026 Nantes

Programme complet.

#Nantes2026 #Municipales2026";"Foulques Chombart de Lauwe a Nantes.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/nantes/candidats/chombart/;nantes-chombart.jpg
2026-03-10;Mar;12:30;3-Acceleration;candidat;"Nathalie Oziol - Montpellier 2026

Programme complet.

#Montpellier2026";"Nathalie Oziol aux municipales 2026 a Montpellier.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/montpellier/candidats/oziol/;montpellier-oziol.jpg
2026-03-10;Mar;18:00;3-Acceleration;ville;"Municipales 2026 a Tours : 8 candidats.

Derniere ligne droite ! Comparez.

#Tours2026 #Municipales2026";"Derniere ligne droite a Tours : 8 candidats aux municipales 2026.

Comparez avant de voter :";https://pourquituvotes.fr/municipales-2026/tours/;tours.jpg
2026-03-11;Mer;09:00;3-Acceleration;candidat;"Pierre Hurmic - Municipales 2026 Bordeaux

Programme complet.

#Bordeaux2026 #Municipales2026";"Pierre Hurmic a Bordeaux.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/bordeaux/candidats/hurmic/;bordeaux-hurmic.jpg
2026-03-11;Mer;12:30;3-Acceleration;candidat;"Anne-Sophie Frigout - Reims 2026

Programme complet.

#Reims2026";"Anne-Sophie Frigout aux municipales 2026 a Reims.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/reims/candidats/frigout/;reims-frigout.jpg
2026-03-11;Mer;18:00;3-Acceleration;ville;"Municipales 2026 a Amiens : 10 candidats.

Derniere ligne droite ! Comparez.

#Amiens2026 #Municipales2026";"Derniere ligne droite a Amiens : 10 candidats aux municipales 2026.

Comparez avant de voter :";https://pourquituvotes.fr/municipales-2026/amiens/;amiens.jpg
2026-03-12;Jeu;09:00;3-Acceleration;candidat;"Édouard Philippe - Municipales 2026 Le Havre

Programme complet.

#LeHavre2026 #Municipales2026";"Édouard Philippe a Le Havre.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/le-havre/candidats/philippe/;le-havre-philippe.jpg
2026-03-12;Jeu;12:30;3-Acceleration;candidat;"Jean-Paul Lecoq - Le Havre 2026

Programme complet.

#LeHavre2026";"Jean-Paul Lecoq aux municipales 2026 a Le Havre.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/le-havre/candidats/lecoq/;le-havre-lecoq.jpg
2026-03-12;Jeu;18:00;3-Acceleration;rappel;"J-3 avant le 1er tour !

Vous n'avez pas encore compare les candidats a Toulouse ?

#Toulouse2026 #Municipales2026";"Les municipales 2026 approchent !

Comparez les programmes des candidats a Toulouse avant de voter.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/toulouse/;toulouse.jpg
2026-03-13;Ven;09:00;3-Acceleration;candidat;"Sophie Zarifian - Municipales 2026 Le Havre

Programme complet.

#LeHavre2026 #Municipales2026";"Sophie Zarifian a Le Havre.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/le-havre/candidats/zarifian/;le-havre-zarifian.jpg
2026-03-13;Ven;12:30;3-Acceleration;candidat;"Alain Carignon - Grenoble 2026

Programme complet.

#Grenoble2026";"Alain Carignon aux municipales 2026 a Grenoble.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/grenoble/candidats/carignon/;grenoble-carignon.jpg
2026-03-13;Ven;18:00;3-Acceleration;rappel;"J-2 avant le 1er tour !

Vous n'avez pas encore compare les candidats a Lyon ?

#Lyon2026 #Municipales2026";"Les municipales 2026 approchent !

Comparez les programmes des candidats a Lyon avant de voter.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/lyon/;lyon.jpg
2026-03-14;Sam;09:00;3-Acceleration;candidat;"Romain Gentil - Municipales 2026 Grenoble

Programme complet.

#Grenoble2026 #Municipales2026";"Romain Gentil a Grenoble.

Programme complet. Comparez :";https://pourquituvotes.fr/municipales-2026/grenoble/candidats/gentil/;grenoble-gentil.jpg
2026-03-14;Sam;12:30;3-Acceleration;candidat;"Christophe Béchu - Angers 2026

Programme complet.

#Angers2026";"Christophe Béchu aux municipales 2026 a Angers.

Programme complet. Decouvrez :";https://pourquituvotes.fr/municipales-2026/angers/candidats/bechu/;angers-bechu.jpg
2026-03-14;Sam;18:00;3-Acceleration;rappel;"J-1 avant le 1er tour !

Vous n'avez pas encore compare les candidats a Marseille ?

#Marseille2026 #Municipales2026";"Les municipales 2026 approchent !

Comparez les programmes des candidats a Marseille avant de voter.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/marseille/;marseille.jpg
2026-03-15;Dim;08:00;3-Acceleration;jour-J;"C'est le jour du vote !

Municipales 2026 : comparez une derniere fois les programmes avant d'aller voter.

548 candidats. 103 villes. Votre choix.

#Municipales2026 #PourQuiTuVotes";"C'est le jour du vote ! Municipales 2026.

Comparez les programmes une derniere fois avant d'aller aux urnes.

548 candidats, 103 villes, 12 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/;home.jpg
